,0,1,2,3,4,5,6
143,(500) Days of Summer,(2009),G,95 min,"Comedy, Drama, Romance",7.7,"
After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
144,The Last of the Mohicans,(1992),18+,112 min,"Action, Adventure, Drama",7.7,"
Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War."
145,As Good as It Gets,(1997),13+,139 min,"Comedy, Drama, Romance",7.7,"
A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
146,Silver Linings Playbook,(2012),15+,122 min,"Comedy, Drama, Romance",7.7,"
After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
147,En man som heter Ove,(2015),PG-13,116 min,"Comedy, Drama, Romance",7.7,"
Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
148,Sense and Sensibility,(1995),7+,136 min,"Drama, Romance",7.7,"
Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
149,Midnight in Paris,(2011),13A,94 min,"Comedy, Fantasy, Romance",7.7,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
150,The Fault in Our Stars,(2014),13A,126 min,"Drama, Romance",7.7,"
Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam."
151,The Theory of Everything,(2014),7+,123 min,"Biography, Drama, Romance",7.7,"
A look at the relationship between the famous physicist Stephen Hawking and his wife."
152,When Harry Met Sally...,(1989),---,95 min,"Comedy, Drama, Romance",7.7,"
Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
153,Flipped,(I) (2010),7A,90 min,"Comedy, Drama, Romance",7.7,"
Two eighth-graders start to have feelings for each other despite being total opposites."
